Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
1016.0,368.94357.1523
1018.0,369.3546357.1655
1020.0,369.3546357.178
1022.0,369.32357.1829
1024.0,369.2855357.1883
1026.0,369.1472357.1883
1028.0,369.0089357.2008
1030.0,368.5944357.2021
1032.0,368.6634357.2138
1034.0,368.4908357.2194
1036.0,368.6634357.2267
1038.0,369.078357.2366
1040.0,369.2855357.2442
1042.0,369.8038357.2556
1044.0,369.8038357.2546
1046.0,369.5618357.265
1048.0,369.3891357.2698
1050.0,369.2855357.2672
1052.0,369.0436357.2723
1054.0,368.7325357.2783
1056.0,368.4562357.29
1058.0,368.5598357.3084
1060.0,368.5598357.3135
1062.0,368.8708357.3326
1064.0,369.3546357.3418
1066.0,369.2855357.349
1068.0,369.32357.3556
1070.0,369.2508357.3659
1072.0,369.078357.3709
1074.0,368.6289357.3705
1076.0,368.6289357.3831
1078.0,368.387357.396
1080.0,368.6981357.4098
1082.0,368.8708357.4198
1084.0,369.1127357.425
1086.0,369.2163357.4293
1088.0,369.0436357.4495
1090.0,369.1127357.4515
1092.0,368.9744357.4549
1094.0,368.8017357.4577
1096.0,368.4562357.4683
1098.0,368.4217357.4719
1100.0,368.2145357.4832
1102.0,368.8363357.5019
1104.0,369.1127357.5121
1106.0,369.3891357.5256
1108.0,369.5274357.5278
1110.0,369.5274357.534
1112.0,369.3891357.5327
1114.0,369.2508357.5324
1116.0,369.2855357.5422
1118.0,368.8363357.55
1120.0,368.6289357.5524
1122.0,368.387357.5581
1124.0,368.5598357.5616
1126.0,368.6981357.5723
1128.0,369.078357.5844
1130.0,369.4238357.5934
1132.0,369.4582357.5972
1134.0,369.3891357.609
1136.0,369.32357.611
1138.0,369.078357.6137
1140.0,369.1127357.6168
1142.0,368.767357.6262
1144.0,368.5944357.6318
1146.0,368.5598357.6359
1148.0,368.387357.6494
1150.0,368.8708357.6561
1152.0,369.1472357.6655
1154.0,369.3891357.6814
1156.0,369.5274357.6832
1158.0,369.32357.686
1160.0,369.2508357.6902
1162.0,368.9744357.6934
1164.0,369.0089357.6882
1166.0,368.6634357.6963
1168.0,368.6634357.7073
1170.0,368.2489357.7148
1172.0,368.6289357.7223
1174.0,368.9055357.7389
1176.0,369.1472357.7564
1178.0,369.0089357.756
1180.0,369.3891357.7611
1182.0,369.32357.7639
1184.0,368.9744357.7682
1186.0,368.94357.7739
1188.0,368.9055357.7763
1190.0,368.7325357.7835
1192.0,368.5598357.7955
1194.0,368.4908357.8016
1196.0,368.6634357.8144
1198.0,369.1819357.8267
1200.0,369.4582357.832
1202.0,369.3891357.8392
1204.0,369.4238357.8423
1206.0,369.3891357.8395
1208.0,369.1472357.8425
1210.0,368.9744357.8511
1212.0,368.8363357.8523
1214.0,368.5944357.8601
1216.0,368.4562357.867
1218.0,368.6981357.8772
1220.0,369.1472357.8821
1222.0,369.4238357.8896
1224.0,369.5274357.8982
1226.0,369.4238357.9042
1228.0,369.4582357.9083
1230.0,369.4929357.9072
1232.0,369.3546357.9107
1234.0,368.9744357.9174
1236.0,368.9055357.9136
1238.0,368.5598357.9332
1240.0,368.387357.9338
1242.0,368.387357.9462
1244.0,368.6634357.9526
1246.0,369.1819357.9649
1248.0,369.4582357.9705
1250.0,369.5965357.9747
1252.0,369.5274357.9808
1254.0,369.6657357.9858
1256.0,369.4582357.9878
1258.0,369.3546357.9882
1260.0,368.94357.9867
1262.0,368.9744357.99
1264.0,368.8708357.9898
1266.0,368.5253357.9989
1268.0,368.387358.0098
1270.0,368.5253358.0304
1272.0,368.94358.032
1274.0,369.2855358.0399
1276.0,369.4929358.0563
1278.0,369.631358.0523
1280.0,369.6657358.0543
1282.0,369.5965358.0642
1284.0,369.4929358.062
1286.0,369.1819358.0648
1288.0,369.078358.0727
1290.0,368.8363358.0861
1292.0,368.5253358.0881
1294.0,368.4217358.093
1296.0,368.387358.1076
1298.0,368.767358.1192
1300.0,369.2508358.1278
1302.0,369.4582358.1482
1304.0,369.6657358.143
1306.0,369.5274358.1496
1308.0,369.8384358.1483
1310.0,369.2163358.1446
1312.0,369.2855358.1491
1314.0,369.4582358.1572
1316.0,368.8363358.1586
1318.0,368.6981358.1645
1320.0,368.5253358.1749
1322.0,368.2489358.1754
1324.0,368.8708358.1901
1326.0,369.1472358.2002
1328.0,369.3546358.207
1330.0,369.5274358.2172
1332.0,369.8038358.2291
1334.0,369.4238358.2261
1336.0,369.4582358.2231
1338.0,369.1472358.2313
1340.0,369.2163358.2359
1342.0,368.8363358.2424
1344.0,368.4562358.2391
1346.0,368.387358.2525
1348.0,368.5253358.2637
1350.0,368.9055358.2789
1352.0,369.2508358.2939
1354.0,369.2855358.302
1356.0,369.7001358.3043
1358.0,369.631358.306
1360.0,369.4238358.3067
1362.0,369.2163358.3104
1364.0,369.1127358.3109
1366.0,368.94358.3148
1368.0,368.6634358.3242
1370.0,368.5253358.3319
1372.0,368.5253358.3418
1374.0,368.5944358.3489
1376.0,368.8708358.3579
1378.0,369.4238358.3692
1380.0,369.7001358.3824
1382.0,369.631358.3851
1384.0,369.7001358.3827
1386.0,369.631358.3801
1388.0,369.32358.3824
1390.0,369.078358.3857
1392.0,369.078358.3901
1394.0,368.9744358.3839
1396.0,368.5598358.3989
1398.0,368.4217358.405
1400.0,368.4908358.42
1402.0,368.7325358.4309
1404.0,369.078358.4378
1406.0,369.2508358.4452
1408.0,369.4582358.4537
1410.0,369.32358.462
1412.0,369.2855358.468
1414.0,369.0436358.4623
1416.0,369.0436358.464
1418.0,368.5598358.4706
1420.0,368.4217358.4814
1422.0,368.3526358.4929
1424.0,368.5944358.5024
1426.0,368.767358.5044
1428.0,369.2508358.5104
1430.0,369.2855358.518
1432.0,369.4238358.5242
1434.0,369.5274358.5256
1436.0,369.4238358.5185
1438.0,369.2855358.5236
1440.0,368.9744358.526
1442.0,368.94358.5239
1444.0,368.5253358.53
1446.0,368.3526358.5389
1448.0,368.4562358.5521
1450.0,368.4562358.5588
1452.0,368.9744358.567
1454.0,369.2163358.5755
1456.0,369.4582358.5805
1458.0,369.3891358.5822
1460.0,369.4929358.5863
1462.0,369.3546358.593
1464.0,369.1127358.5899
1466.0,369.0436358.5927
1468.0,368.6981358.6001
1470.0,368.4562358.6021
1472.0,368.2145358.6161
1474.0,368.387358.6232
1476.0,368.5944358.6361
1478.0,369.2508358.6468
1480.0,369.4929358.6531
1482.0,369.8038358.6596
1484.0,369.631358.6675
1486.0,369.6657358.6697
1488.0,369.5274358.6696
1490.0,369.5618358.6691
1492.0,369.078358.6748
1494.0,368.8708358.6738
1496.0,368.6634358.6655
1498.0,368.4908358.6779
1500.0,368.5253358.6846
1502.0,368.5253358.6982
1504.0,368.9744358.7035
1506.0,369.3546358.7134
1508.0,369.5965358.7226
1510.0,369.5274358.7217
1512.0,369.5274358.724
1514.0,369.32358.7249
1516.0,369.3891358.7302
1518.0,368.94358.7319
1520.0,368.8017358.7351
1522.0,368.6981358.7412
1524.0,368.4908358.7473
1526.0,368.0417358.7526
1528.0,368.7325358.7629
1530.0,369.078358.7803
1532.0,369.2163358.7826
1534.0,369.4238358.7889
